stock_symbol,Date,Total_Transactions,Total_Traded_Shares,Total_Traded_Amount,Opening_Price,Max_Price,Min_Price,Closing_Price,Percentage_change_in_Price,Volume,Previous_Volume,Percentage_Change_in_Volume,Next_Day_Opening_Price,Next_Day_Closing_Price,Percentage_Change_in_Next_Day_Price
SEWAPO,2/23/2014,3,19944,2891880,0,145,145,145,0,57675654720,1214482820,46.4898893341283,145,145,0
SEWAPO,6/2/2014,1,5788,839260,145,145,145,145,0,4857636880,57675654720,-0.915776649548539,145,145,0
SEWAPO,9/25/2016,4,9400,3384000,360,360,360,360,0,31809600000,103090489920,-0.691440015226576,360,360,0
SEWAPO,10/5/2016,4,9400,3384000,360,360,360,360,0,31809600000,31809600000,0,103,105,1.94174757281553
